"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.858658572338446,0.577,0.301,0,"0","RARRES3"
0,0.858127888335975,0.417,0.092,0,"0","SH2D2A"
0,0.857724167541171,0.797,0.519,0,"0","COTL1"
0,0.854109843529351,0.45,0.19,0,"0","TNFRSF1B"
0,0.852713890328005,0.553,0.287,0,"0","ICAM3"
0,0.852516007941308,0.835,0.625,0,"0","SRSF7"
0,0.851877610282912,0.427,0.134,0,"0","EVI2A"
0,0.850639181423784,0.424,0.19,0,"0","RP11-138A9.2"
0,0.843334268622821,0.623,0.39,0,"0","RGCC"
0,0.842523778245014,1,1,0,"0","RPS15A"
0,0.840469712427737,0.967,0.837,0,"0","ZFP36L2"
0,0.839730040168222,0.926,0.762,0,"0","ARPC1B"
0,0.837612826692291,0.534,0.321,0,"0","PDCD4"
0,0.832115623041603,0.884,0.69,0,"0","SRSF5"
0,0.822328482984149,0.516,0.198,0,"0","ARL4C"
0,0.817820016777741,0.38,0.129,0,"0","SATB1"
0,0.81681750638902,0.621,0.462,0,"0","ARL6IP5"
0,0.814750528977754,0.515,0.202,0,"0","ALOX5AP"
0,0.806920500575223,0.574,0.382,0,"0","ELF1"
0,0.805756052921238,0.585,0.37,0,"0","ARID4B"
0,0.804603892540595,0.531,0.361,0,"0","G3BP2"
0,0.798778735043737,0.536,0.311,0,"0","STK4"
0,0.796272430906852,0.416,0.153,0,"0","AC016831.7"
0,0.792881615238257,1,0.956,0,"0","PFN1"
0,0.790179561102764,0.584,0.418,0,"0","RAP1A"
0,0.788302112544844,0.468,0.228,0,"0","GLIPR1"
0,0.786930111321838,0.32,0.093,0,"0","MAF"
0,0.786623853752214,0.439,0.166,0,"0","SEPT1"
0,0.78616457289677,0.391,0.08,0,"0","CD96"
0,0.784574484561653,0.996,0.919,0,"0","CALM1"
0,0.78429143421391,0.404,0.098,0,"0","STAT4"
0,0.782511703719576,1,1,0,"0","EIF1"
0,0.777242715305634,1,1,0,"0","RPL34"
0,0.776907519829221,0.971,0.854,0,"0","CIRBP"
0,0.77662840219602,1,1,0,"0","RPLP1"
0,0.775914408184911,0.998,0.978,0,"0","RPL36AL"
0,0.771567217208024,0.275,0.073,0,"0","AC092580.4"
0,0.764157416459138,0.382,0.126,0,"0","PIK3IP1"
0,0.764019146526863,1,1,0,"0","EEF1A1"
0,0.751486295402678,0.635,0.321,0,"0","LSP1"
0,0.747717739703575,0.358,0.171,0,"0","TMEM173"
0,0.74260856685156,0.668,0.595,0,"0","UBE2B"
0,0.74217624250883,0.347,0.067,0,"0","IL2RB"
0,0.741690535191436,0.925,0.813,0,"0","PSME1"
0,0.73943458944192,0.539,0.295,0,"0","GYPC"
0,0.73668970296441,0.629,0.249,0,"0","HCST"
0,0.735415789081011,1,1,0,"0","RPS27A"
0,0.734189000012917,0.996,0.924,0,"0","DDX5"
0,0.726438548556105,1,0.975,0,"0","ACTB"
0,0.724820249874426,0.299,0.021,0,"0","CD28"
0,0.71895307806503,0.334,0.113,0,"0","TTC39C"
0,0.71689976088928,0.328,0.079,0,"0","SLA"
0,0.714224834296766,0.949,0.854,0,"0","UBE2D3"
0,0.713286238177512,0.972,0.879,0,"0","SOD1"
0,0.709568169998205,0.943,0.812,0,"0","SELK"
0,0.699146148558916,1,1,0,"0","RPL28"
0,0.69854035827763,0.283,0.031,0,"0","CD5"
0,0.682845114418838,0.992,0.905,0,"0","KLF6"
0,0.678493811201925,0.319,0.07,0,"0","SKAP1"
0,0.672770475501375,0.78,0.722,0,"0","ANAPC16"
0,0.669535618179294,0.359,0.155,0,"0","AAK1"
0,0.668262976996201,0.696,0.481,0,"0","IFITM2"
0,0.661958765710596,0.254,0.037,0,"0","SH2D1A"
0,0.660903714929182,1,1,0,"0","RPL21"
0,0.66043720580364,0.364,0.128,0,"0","RASSF5"
0,0.659174176862501,1,1,0,"0","TPT1"
0,0.658760972016134,0.299,0.066,0,"0","P2RY10"
0,0.657758801587511,0.993,0.922,0,"0","GLTSCR2"
0,0.652659892540853,0.99,0.926,0,"0","ARPC2"
0,0.651888201937209,0.338,0.111,0,"0","PDE4D"
0,0.650558084959687,0.997,0.927,0,"0","SH3BGRL3"
0,0.647817467552451,1,1,0,"0","RPL41"
0,0.647687923989363,1,0.995,0,"0","RPSA"
0,0.644364360065378,1,1,0,"0","RPL23A"
0,0.642122410127818,0.341,0.121,0,"0","DOK2"
0,0.639960494404885,0.279,0.055,0,"0","S1PR4"
0,0.639781637925295,1,0.998,0,"0","UBA52"
0,0.639503266291898,0.335,0.073,0,"0","GZMM"
0,0.639426006247569,0.936,0.824,0,"0","RPL17"
0,0.635927617762948,0.894,0.688,0,"0","CD44"
0,0.630787197984021,0.868,0.753,0,"0","HNRNPA0"
0,0.628511771905157,0.363,0.134,0,"0","ETS1"
0,0.62648348563491,0.292,0.115,0,"0","GNA15"
0,0.625096037857481,0.321,0.08,0,"0","TBC1D10C"
0,0.624614007201973,1,1,0,"0","RPLP2"
0,0.624200221085328,0.337,0.132,0,"0","EMB"
0,0.618813407925048,0.783,0.683,0,"0","CAPZB"
0,0.618546591856129,0.443,0.152,0,"0","CST7"
0,0.614547664009625,1,1,0,"0","RPS12"
0,0.614533209688214,1,0.996,0,"0","RPL31"
0,0.614174304718964,1,1,0,"0","RPL9"
0,0.611426807131247,0.29,0.083,0,"0","RP11-347P5.1"
0,0.609189287568355,0.406,0.186,0,"0","HCLS1"
0,0.600350163009893,0.976,0.89,0,"0","CCNI"
0,0.598589441052964,1,1,0,"0","FAU"
0,0.598208416193844,0.885,0.788,0,"0","CDC42"
0,0.594650519499895,0.281,0.074,0,"0","RNF125"
0,0.592358531648161,1,1,0,"0","RPL11"
0,0.590834704118072,1,0.999,0,"0","RPL30"
0,0.589621210067764,0.361,0.159,0,"0","FMNL1"
0,0.585479648206635,0.317,0.095,0,"0","PRKCH"
0,0.584980685369693,0.999,0.976,0,"0","UBC"
0,0.579860590752863,1,1,0,"0","RPL32"
0,0.578089058744503,1,1,0,"0","RPS16"
0,0.574927393068269,0.929,0.812,0,"0","SRSF2"
0,0.55959769038608,0.304,0.087,0,"0","SYTL3"
0,0.559165758132701,1,0.998,0,"0","RPL27"
0,0.557495098009893,0.972,0.879,0,"0","SKP1"
0,0.555293134017515,1,0.996,0,"0","RPL4"
0,0.549870946435719,1,1,0,"0","RPL19"
0,0.549172322347124,0.294,0.09,0,"0","PTPN22"
0,0.547816233464437,0.981,0.866,0,"0","NAP1L1"
0,0.546666492794244,0.25,0.091,0,"0","FAS"
0,0.545544240668232,1,0.991,0,"0","PFDN5"
0,0.543329804728472,1,0.999,0,"0","MALAT1"
0,0.539304978089576,0.268,0.074,0,"0","IKZF1"
0,0.538208310777654,1,0.999,0,"0","RPS20"
0,0.534555333936957,0.273,0.087,0,"0","JAML"
0,0.531703874707444,1,1,0,"0","RPL35A"
0,0.531547366362443,1,0.995,0,"0","EEF1D"
0,0.528111067549027,1,1,0,"0","RPL10"
0,0.527875578597883,0.605,0.213,0,"0","GPR183"
0,0.525679798748863,1,0.999,0,"0","RPS3A"
0,0.525144999406391,0.857,0.751,0,"0","CIB1"
0,0.524915766687212,1,0.997,0,"0","RPL37"
0,0.523930692884883,1,0.999,0,"0","RPS28"
0,0.522756573412361,0.973,0.871,0,"0","MYL12A"
0,0.516301147711611,0.998,0.972,0,"0","UQCRB"
0,0.514753347039351,0.438,0.195,0,"0","LCP1"
0,0.503783775594045,0.869,0.793,0,"0","HNRNPDL"
0,0.503531853101086,0.251,0.075,0,"0","APBB1IP"
0,0.497953275085,0.989,0.964,0,"0","SUB1"
0,0.497690900585793,1,1,0,"0","RPS6"
0,0.493715095700186,1,0.999,0,"0","RPL6"
0,0.492507090755564,0.992,0.937,0,"0","TOMM7"
0,0.490765215530617,0.949,0.754,0,"0","LDHB"
0,0.489060067325397,1,0.99,0,"0","RPS10"
0,0.487890239117287,0.999,0.984,0,"0","ATP5L"
0,0.481458670525247,1,1,0,"0","RPL26"
0,0.481123824511734,0.272,0.088,0,"0","ARHGAP9"
0,0.477970207775791,0.288,0.111,0,"0","ARHGAP15"
0,0.473226149479594,1,0.997,0,"0","H3F3B"
0,0.472744857046275,0.985,0.892,0,"0","COMMD6"
0,0.470751159507641,1,1,0,"0","RPL27A"
0,0.469534613465375,1,0.993,0,"0","RPL38"
0,0.469385260571371,1,1,0,"0","RPL3"
0,0.463700216594387,1,0.998,0,"0","PTMA"
